Timestamp,State of Residence,LGA,Town,Accommodation Type,Type of Apartment,Cost of Apartment,One Room,Two Rooms,Self Contain,One Bedroom Flat,Two Bedroom Flat,Three Bedroom Flat,Four Bedroom Flat,Five Bedroom Flat,One Bedroom Duplex,Two Bedroom Duplex,Three Bedroom Duplex,Four Bedroom Duplex,Five Bedroom Duplex
3/21/2024,Rivers,Obio/Akpor,Rumuomasi,Rented,Self Contain,180000,90000,180000,180000,250000,350000,450000,480000,530000,600000,800000,880000,900000,1200000
3/21/2024,Rivers,Obio/Akpor,Rumuokwurusi,Rented,One Bedroom Flat,300000,100000,200000,150000,300000,450000,800000,1000000,1200000,1000000,1200000,1500000,2000000,2500000
3/21/2024,Rivers,Ikwerre,Igwuruta,Owned,Self Contain,350000,60000,120000,150000,350000,400000,500000,1300000,700000,800000,900000,1000000,1100000,1200000
3/21/2024,Rivers,Obio/Akpor,Rumuagholu,Rented,Self Contain,200000,120000,220000,250000,400000,550000,600000,800000,1000000,1000000,1200000,1500000,2000000,2500000
3/21/2024,Rivers,Obio/Akpor,Choba,Rented,Self Contain,170000,80000,160000,170000,260000,400000,550000,680000,1600000,650000,800000,1050000,1250000,1500000
3/21/2024,Rivers,Obio/Akpor,Rukpoku,Rented,Two Bedroom Flat,700000,48000,96000,150000,300000,550000,700000,900000,1200000,500000,800000,1000000,1200000,1400000
3/21/2024,Rivers,Obio/Akpor,Choba,Rented,Self Contain,260000,76000,150000,260000,400000,600000,750000,950000,1200000,700000,1000000,1500000,2000000,2500000
3/22/2024,Rivers,Obio/Akpor,Rumuosi,Rented,Self Contain,180000,70000,140000,150000,400000,700000,1000000,1500000,2500000,1000000,1500000,2500000,3000000,4000000
3/22/2024,Rivers,Ikwerre,Aluu,Rented,Self Contain,150000,60000,120000,150000,250000,350000,500000,800000,1000000,900000,1200000,1500000,2000000,2500000
3/22/2024,Rivers,Obio/Akpor,Elelenwo,Rented,Three Bedroom Flat,700000,100000,200000,300000,350000,500000,700000,800000,900000,1000000,2000000,3000000,4000000,5000000
3/22/2024,Rivers,Obio/Akpor,Alakahia,Rented,Self Contain,300000,96000,192000,300000,500000,750000,1200000,1500000,1700000,1600000,2500000,2800000,3000000,3200000
3/22/2024,Rivers,Obio/Akpor,Choba,Rented,Self Contain,150000,100000,200000,200000,350000,500000,800000,1200000,1500000,1600000,2500000,3000000,3500000,4000000
